Date,Actual,ARIMA,RF,Prophet
2025-12-04,379.5062561035156,379.5062561035156,379.5062561035156,375.7467718110169
2025-12-05,388.6794128417969,388.6794128417969,388.6794128417969,395.96622168512397
2025-12-08,399.4960021972656,399.4960021972656,399.4960021972656,408.7742741940196
2025-12-09,404.6652221679688,404.6652221679688,404.6652221679688,403.43427313872814
2025-12-10,411.3185119628906,411.3185119628906,411.3185119628906,394.4731073801079
2025-12-11,404.7449035644531,417.34993169448984,404.7449035644531,383.4560727762053
2025-12-12,358.4906005859375,402.38568160616626,358.4906005859375,371.871269571739
2025-12-15,338.4510803222656,338.99120365713856,338.4510803222656,347.66436155588485
2025-12-16,339.93511962890625,329.934468145665,339.93511962890625,343.2885098868471
2025-12-17,324.7162170410156,340.502580876605,324.7162170410156,339.2517310265605
2025-12-18,328.5608215332031,314.16482693501365,329.5602587890625,335.7825737819371
2025-12-19,338.9988708496094,327.4807989805864,335.32887741088865,333.23203252530027
2025-12-22,340.7352600097656,337.72584387173924,341.50858194986984,336.6447453821791
2025-12-23,348.5887756347656,340.7294142769732,345.99833137512206,339.7760177403973
2025-12-24,349.48687744140625,352.16315128486923,348.13587285359705,341.87390371474646
2025-12-26,351.39288330078125,349.80748950301495,349.67548355102537,343.6929483092789
2025-12-29,348.6586303710937,351.9323211247785,347.7876089731852,349.000319190222
2025-12-30,349.1176452636719,348.23118537549163,347.50145829772947,350.851452320042
2025-12-31,345.3755187988281,348.9616202605262,345.9962278137207,351.0861133481983
2026-01-02,346.8923034667969,347.4885835385754,345.19926801300045,348.29888207305066
2026-01-05,342.7011413574219,346.23930066282986,342.6017081458682,347.10630573782555
2026-01-06,343.0503845214844,345.01639034435186,341.6160563071114,347.36091770939333
2026-01-07,342.78094482421875,342.8830145384204,341.73375025249663,346.3708387271001
2026-01-08,331.7840270996094,342.875914777596,337.1375828134446,344.4831505035944
2026-01-09,344.24786376953125,331.35673225636964,337.5650634384155,342.23009244707384
2026-01-12,351.47271728515625,335.57610286788645,347.00612107594804,341.078344344779
2026-01-13,353.86767578125,350.5835558282906,348.7161427307129,341.63071627325655
2026-01-14,339.17852783203125,353.62062924135324,346.1254651743571,340.96047942155263
2026-01-15,342.30194091796875,333.0121858869726,342.90232168706257,339.35171871446965
2026-01-16,350.9737548828125,341.6202881972918,346.2383424847921,337.2857121608397
2026-01-20,331.9037780761719,349.4233821466066,337.3856543375651,336.0442660915016
2026-01-21,328.1116943359375,344.2936563024933,331.35190716340804,334.89187518209934
2026-01-22,324.8086242675781,328.5625328110847,327.6606119855245,332.7338149131368
2026-01-23,319.3800354003906,325.3458517322614,323.8613757252769,330.100719193433
2026-01-26,324.16998291015625,315.8026017962569,322.4754017893473,327.4204113972248
2026-01-27,332.0933837890625,324.52479766996925,328.23123963165284,327.4977858007643
2026-01-28,332.5424194335937,334.8994825725448,333.7396951991489,326.47398561807535
2026-01-29,330.0376892089844,332.6030775541524,332.3118422112237,324.69844046334316
2026-01-30,330.6064758300781,328.8463089815848,329.9930079304529,322.7124664425666
2026-02-02,330.4168701171875,330.6315571802821,329.2764198948693,323.4398172780956
2026-02-03,319.659423828125,330.47816940102,322.5339780200171,325.02809586740693
2026-02-04,307.4051513671875,319.49207164696134,312.56390707379296,325.61444921132716
2026-02-05,309.8600158691406,298.562822527431,309.8936656188965,325.48170112860606
2026-02-06,332.2231140136719,310.6308498394093,325.95397382100424,325.09995444561446
2026-02-09,343.22003173828125,341.89291090344227,338.9927618764242,329.7049107094648
2026-02-10,339.72735595703125,347.49088598248744,341.4863955317906,332.06811707213734
2026-02-11,342.0425109863281,338.5390726504264,340.7135043417916,333.09370076622565
2026-02-12,330.4767761230469,343.5073444399365,334.39347631212263,333.03971299275514
2026-02-13,324.48931884765625,338.55482089040294,325.6403409364488,332.3683133090971
2026-02-17,331.8439025878906,323.38121116359815,329.3131404847039,334.94350673422696
2026-02-18,332.8118591308594,331.7947757360152,331.87043736606176,334.3135851517573
2026-02-19,333.29083251953125,333.0242921023062,334.9881949833461,332.52515247845696
2026-02-20,331.9536437988281,333.06450871623775,333.71182561747236,330.1251642051581
2026-02-23,329.64849853515625,331.39648738063073,330.6150986508567,327.52236327377796
2026-02-24,324.8086242675781,328.12009195950526,326.8125086735922,327.490126664266
2026-02-25,331.6143798828125,320.8921439700075,329.18512586169777,326.3251302506123
2026-02-26,321.0265808105469,328.9807662886117,324.73437846229194,324.3968798831864
2026-02-27,318.8810729980469,329.1988878279404,318.7984646491399,322.26453213030334
2026-03-02,318.1526184082031,319.7552086099782,318.0031328357515,322.71942952904305
2026-03-03,313.1830444335937,318.374306532018,315.10243491744995,324.2941800360879
2026-03-04,316.86529541015625,310.26916406479245,318.7915915412903,324.90427238127023
2026-03-05,332.0733947753906,315.52117208010617,326.3517353363037,324.8238664316132
2026-03-06,329.7882080078125,337.8116588551389,332.965307565901,324.5092673513196
2026-03-09,345.0262451171875,329.767506181942,337.02700876175413,329.19996686472393
2026-03-10,341.86285400390625,344.4528979118438,342.5598000038995,331.46883207043874
2026-03-11,340.85498046875,342.90180361276856,340.4584480497573,332.2925348640532
2026-03-12,335.2667236328125,341.1214043750176,337.29032495771133,331.902250185687
2026-03-13,321.4856262207031,337.7856256651738,327.59268112182616,330.73612926915234
2026-03-16,324.2398681640625,310.6431032462885,321.6543880208333,329.8500341504871
2026-03-17,320.63739013671875,324.68261677739224,323.84752264785766,329.4655481031004
2026-03-18,315.2686462402344,320.23165157710235,317.2462089322408,327.40802337799926
2026-03-19,319.17047119140625,317.1184138055821,318.7324872219752,324.0409220665319
2026-03-20,309.8600158691406,318.3938759802249,314.0513256581624,319.94829282479105
2026-03-23,322.510009765625,314.1885953359953,321.5913572184245,312.1139714157705
2026-03-24,318.2900085449219,310.8843796374493,320.32736220041915,310.5080145625161
2026-03-25,318.8099975585937,321.2100167011624,318.2363952187432,307.98056890807
2026-03-26,309.4200134277344,318.4272594772192,313.37155904769895,304.98086218087417
2026-03-27,300.67999267578125,315.194824843711,305.21461822509764,302.14623292964677
2026-03-30,293.4100036621094,295.8044571760682,301.18329864501953,303.4001691986354
2026-03-31,309.510009765625,288.56151156784483,307.98267517089846,306.38836809141264
2026-04-01,313.489990234375,311.3360379684855,311.74243659973143,309.03976397145794
2026-04-02,314.54998779296875,313.58920757748257,315.9112582651774,311.63643790212524
2026-04-06,314.42999267578125,314.4046392846498,315.36562093607586,332.65546209367744
2026-04-07,333.9700012207031,314.35044053928476,324.7752807490031,340.3455862979817
2026-04-08,350.6300048828125,334.3323909262499,344.4965675354004,346.98035010149863
2026-04-09,354.9100036621094,360.57306602984823,352.36513015747073,352.73718297711895
2026-04-10,371.5499877929688,357.0021513174535,364.8812225341797,358.0142100569498
2026-04-13,379.75,385.01797576745065,373.70772521972657,378.2204893646628
2026-04-14,380.7799987792969,384.75207962894507,374.3939909362793,385.6408525483761
