Date,Actual,ARIMA,RF,Prophet
2024-01-02,362.4599914550781,500.8625061482385,508.01500289916993,365.8002458769716
2024-01-03,366.75,356.5341614290058,498.6746484375,366.29428214668553
2024-01-04,363.6799926757813,366.2012809528943,493.4411444091797,366.34260629538306
2024-01-05,365.5899963378906,366.5857549785973,364.690848236084,366.71215579083207
2024-01-08,368.1799926757813,363.8765053771678,367.2512506103516,365.7462181463424
2024-01-09,366.8999938964844,370.6543647462158,364.5546482849121,366.3929962216136
2024-01-10,367.9200134277344,367.9166513372973,367.4639503479004,367.2135066828992
2024-01-11,363.3399963378906,366.92572112780476,365.84684967041017,367.58604047987035
2024-01-12,363.6199951171875,365.282452579847,367.73765579223635,368.27894519092575
2024-01-16,361.1000061035156,363.5854314044984,366.63654800415037,369.2667872678843
2024-01-17,359.2900085449219,361.65292744122,364.93744827270507,370.4208888180319
2024-01-18,362.3800048828125,357.5748070748336,365.26929748535156,371.1301114154694
2024-01-19,366.989990234375,359.68466252327886,363.03460250854494,372.16240759446384
2024-01-22,368.05999755859375,371.25428517997193,361.7249545288086,373.19815466802453
2024-01-23,372.1400146484375,368.5324802535129,364.23669921875,374.51453063305576
2024-01-24,376.5899963378906,374.14326634327773,368.09940017700194,376.00322768686203
2024-01-25,380.8500061035156,381.02326712406557,371.246600189209,377.0400364963409
2024-01-26,385.3999938964844,385.1059634599937,380.64404800415036,378.3901891706542
2024-01-29,383.1799926757813,389.94013436733167,385.1627474975586,380.2907046924383
2024-01-30,387.1499938964844,384.9292643193237,387.3066488647461,381.85489108719605
2024-01-31,383.739990234375,383.7673851870194,387.0447953796387,383.56561740838475
2024-02-01,386.4400024414063,387.1109494926444,387.99945190429685,384.7954049016138
2024-02-02,390.75,383.8119313732045,389.51274795532225,386.30636673905616
2024-02-05,390.760009765625,394.62825814693883,391.0058999633789,388.4690579822592
2024-02-06,393.739990234375,390.76007298849925,393.6564472961426,390.0400251287715
2024-02-07,397.6600036621094,393.7600497014024,395.17299850463866,391.7148436930124
2024-02-08,397.489990234375,401.4371782454649,396.43264572143556,392.86548244858045
2024-02-09,398.3599853515625,397.50445044068016,397.8469906616211,394.25417150500493
2024-02-12,397.7099914550781,398.03243016918486,398.1549931335449,395.8033857366356
2024-02-13,394.7999877929688,398.3333096810385,397.31923828125,397.0954663122011
2024-02-14,398.6799926757813,393.56225708227794,398.97539184570314,398.4600146337211
2024-02-15,403.4500122070313,394.9551567128181,398.10854843139646,399.2735789966
2024-02-16,405.989990234375,408.1201100464624,397.9699914550781,400.2027252362508
2024-02-20,407.1499938964844,408.09795571680627,400.46680191040036,401.11339229103675
2024-02-21,409.25,408.0269045419307,403.06124603271485,402.00603714828094
2024-02-22,415.1600036621094,411.0276980137459,405.73915496826174,402.36603445680004
2024-02-23,417.2200012207031,418.8911662643093,403.95745727539065,402.9676969045492
2024-02-26,409.1400146484375,418.50237203397154,409.22644927978513,402.30025203182083
2024-02-27,408.9100036621094,413.004361391534,413.7250520324707,402.94128710152563
2024-02-28,412.1400146484375,408.89768833907135,415.49284866333005,403.71699421305703
2024-02-29,409.3999938964844,411.6820518272409,410.26565383911134,404.01337512389
2024-03-01,407.1099853515625,412.10334380036926,408.6725436401367,404.605973092038
2024-03-04,403.3900146484375,404.8563459089196,411.8903477478027,404.2317389019562
2024-03-05,400.739990234375,400.0688002043754,412.9380992126465,405.0684014208964
2024-03-06,403.9599914550781,398.2354333686102,407.1291979980469,406.0809654495082
2024-03-07,402.3900146484375,400.80013288008075,402.8616084289551,406.64896465944065
2024-03-08,403.1499938964844,403.62662009384815,403.0027995300293,407.5403879729761
2024-03-11,404.760009765625,402.5538324143781,403.8821589660645,408.13720345002264
2024-03-12,404.9800109863281,406.00309788877524,400.95990478515625,409.28978142473306
2024-03-13,408.1300048828125,405.03915693113856,401.83844833374025,410.59728434348483
2024-03-14,406.7300109863281,408.5681611844045,404.87005126953125,411.4290195743178
2024-03-15,408.1300048828125,407.7688303108419,407.8167056274414,412.5431172256897
2024-03-18,408.4100036621094,406.73018500353703,407.89755325317384,413.473704336598
2024-03-19,411.760009765625,408.5178095202914,406.05025451660157,414.6020292386067
2024-03-20,416.1099853515625,412.3165031185331,405.78680435180667,415.808805830874
2024-03-21,413.7799987792969,420.3156976456446,408.3591471862793,416.4604706881713
2024-03-22,411.6000061035156,415.71918587319317,411.1250032043457,417.3140365371298
2024-03-25,409.9200134277344,409.42482993154397,412.7407015991211,416.9966948561958
2024-03-26,411.5700073242188,408.2954802725305,413.92249786376954,417.568303824529
2024-03-27,416.9299926757813,409.9202813922925,415.0557453918457,418.1597584841264
2024-03-28,420.5199890136719,419.94608407597707,411.0411033630371,418.14695241059866
2024-04-01,420.2000122070313,423.83991257235374,413.1261013793945,415.7653002084345
2024-04-02,418.9200134277344,420.25615174405937,417.93219665527346,415.6072937844725
2024-04-03,420.239990234375,418.31779711931455,418.73380279541016,415.4967843631271
2024-04-04,415.3200073242188,418.9206362871023,417.4309538269043,414.8222525475911
2024-04-05,418.6199951171875,417.78116269203525,420.1828031921387,414.364039993323
2024-04-08,415.9700012207031,415.56662788732996,417.7181039428711,410.4295698367576
2024-04-09,414.6900024414063,418.5574847325823,414.7583995056152,409.97439292591696
2024-04-10,409.1099853515625,413.6875948258011,415.95855239868166,409.660896630267
2024-04-11,407.6099853515625,406.6798986348326,411.56505310058594,408.8809310864922
2024-04-12,403.260009765625,406.8598335535169,413.9966519165039,408.4153622616676
2024-04-15,400.260009765625,400.57982712033885,411.317147064209,405.01897045173155
