Date,Actual,ARIMA,RF,Prophet
2024-01-02,366.1055603027344,366.1055603027344,366.1055603027344,375.83716828352357
2024-01-03,365.8389892578125,365.8389892578125,365.8389892578125,376.4335977205993
2024-01-04,363.2131652832031,363.2131652832031,363.2131652832031,376.16061102356196
2024-01-05,363.0256042480469,363.0256042480469,363.0256042480469,377.19754290783175
2024-01-08,369.87640380859375,369.87640380859375,369.87640380859375,380.8273609746266
2024-01-09,370.96234130859375,369.84481644433504,370.96234130859375,382.2739766652162
2024-01-10,377.8526306152344,371.0810816015817,377.8526306152344,383.79252453734983
2024-01-11,379.6887817382813,379.15727832608945,379.6887817382813,384.3720546997317
2024-01-12,383.47943115234375,380.37949991863337,383.47943115234375,386.1681954974676
2024-01-16,385.2563171386719,385.02065508687554,385.2563171386719,392.9732540244323
2024-01-17,384.4666137695313,386.50463227924797,386.14510342985517,394.53380000707716
2024-01-18,388.8100280761719,384.03124835949484,388.42924461641456,394.98788979027694
2024-01-19,393.5484313964844,389.4444437471833,391.47469349088647,396.49276833333744
2024-01-22,391.4162292480469,395.9569766658629,393.51055243957506,399.8525954397688
2024-01-23,393.7754211425781,391.1320709869702,393.2412917967693,400.6469749046789
2024-01-24,397.3884582519531,394.09914284241626,396.89507653319214,401.24759555073865
2024-01-25,399.6687316894531,396.2970499391371,398.4689256561688,400.66274598760737
2024-01-26,398.7408447265625,400.7196800661823,399.6867575643441,401.07326116969165
2024-01-29,404.4564514160156,398.16799078247857,401.0504340121451,401.06678725655615
2024-01-30,403.3409729003906,404.70830216447166,402.80648086488725,400.7944913939632
2024-01-31,392.4723815917969,403.69732238403975,397.99359320890704,400.39559559443387
2024-02-01,398.5927429199219,392.4074819288241,397.9897216973983,398.8995508926083
2024-02-02,405.9372253417969,396.35340722336804,403.9026468172147,398.50596298888667
2024-02-05,400.4387512207031,405.60343128396454,403.24491474715484,396.8731085187085
2024-02-06,400.28076171875,402.67791789346165,401.321776028919,396.35164191086074
2024-02-07,408.7308349609375,400.2731649041906,405.43038547625844,395.8565339548052
2024-02-08,408.7900085449219,404.04178985688065,409.43206001415473,394.4156341833736
2024-02-09,415.1473083496094,408.78999477034324,412.50629660245374,394.22340384741625
2024-02-12,409.9253234863281,415.1178715571356,412.4556340656901,393.9722031646891
2024-02-13,401.1001281738281,412.1223518893909,404.65472232155275,394.1235226525366
2024-02-14,404.9769592285156,399.97554955258204,402.4992171088558,394.3784534659935
2024-02-15,402.0792236328125,404.4101277389768,402.4664535943336,393.74531785076823
2024-02-16,399.6067504882813,402.06605882326306,400.1648192581374,394.3983167437217
2024-02-20,398.3507690429688,401.32606453252674,399.8609154239473,397.65329046289133
2024-02-21,397.74749755859375,398.4044009180055,398.14878390008414,398.6484977181525
2024-02-22,407.1130981445313,397.1930760565607,402.19431198075364,398.68532833757155
2024-02-23,405.8175354003906,406.45937416990307,405.8571177539505,399.92646670600806
2024-02-26,403.0484619140625,406.01699615790966,404.04462469964534,402.7578455507206
2024-02-27,402.9890747070313,403.39466751592164,403.4772835024394,403.6818840436555
2024-02-28,403.2264404296875,403.00347856388737,403.5569387275107,404.5558172255538
2024-02-29,409.0812377929688,403.31595452732836,405.0267549723864,404.3791924180018
2024-03-01,410.9207153320313,409.91999599445296,410.6184385957895,405.3222605502139
2024-03-04,410.34710693359375,411.4348884536704,410.77061819051954,407.5312042189322
2024-03-05,398.21234130859375,410.21129902080884,403.1829890826975,408.1550416597627
2024-03-06,397.6585083007813,394.32963607985954,398.2802767036646,408.70521959902743
2024-03-07,404.6308288574219,397.6206904791629,401.51671656206605,408.19521251849926
2024-03-08,401.7429809570313,404.9786172171039,402.2702250499361,408.8087453660802
2024-03-11,400.0616455078125,402.24660418454323,400.5150117864265,410.17169613331515
2024-03-12,410.703125,400.5119761019396,405.60865305753657,410.59342966456285
2024-03-13,410.5251159667969,404.9247048710627,411.20169630827695,410.99292658209066
2024-03-14,420.5335693359375,410.54323374106554,416.4564698815845,410.38732837380195
2024-03-15,411.8305358886719,419.24136972791524,416.22512507990405,410.9617469775685
2024-03-18,412.72064208984375,416.31233218275,413.34115956606547,412.5264309848795
2024-03-19,416.7655944824219,412.32092271811797,414.78932942755694,413.1048000137574
2024-03-20,420.54345703125,413.88842185749314,419.2299127003715,413.69268688564284
2024-03-21,424.6378173828125,421.4805392528791,421.9919371718053,413.29739074683226
2024-03-22,424.0147705078125,428.0765028670044,423.934316774303,413.2540915455307
2024-03-25,418.1995544433594,423.5957477571997,420.2154954813415,412.9199002482169
2024-03-26,417.0028991699219,415.40614555907405,417.3883169497403,412.8135787678817
2024-03-27,416.7853088378906,416.7989409847845,417.1944689518307,412.67460083139514
2024-03-28,416.0831909179688,416.73157320992914,416.533967166342,411.5024203906843
2024-04-01,419.8907470703125,415.6610006814417,418.1414952891815,410.78306260833335
2024-04-02,416.7952270507813,418.1958957150997,418.6636491372951,410.44001405748963
2024-04-03,415.8161315917969,418.9320312448601,417.0414894467556,410.01063320191923
2024-04-04,413.2745361328125,416.1889190160713,415.612703401516,408.50186711013583
2024-04-05,420.8302612304688,414.13073691118143,416.9218533110206,408.0916144168633
2024-04-08,419.9104919433594,417.1278146780538,420.5534462787921,406.19396929228316
2024-04-09,421.5819091796875,420.18549928133456,420.8532821893666,405.46165281396225
2024-04-10,418.59515380859375,420.9545647323061,420.1011215117947,404.676921436379
2024-04-11,423.2137145996094,420.27069017752666,420.4523394811063,402.86265450213597
2024-04-12,417.2501220703125,418.96683846514725,420.33306373947323,402.2122850909984
2024-04-15,409.0812377929688,422.8843707530958,412.6294634016545,400.126642304664
2024-04-16,410.0108337402344,408.41562295267136,409.93019357155225,399.5477803582722
2024-04-17,407.3010559082031,410.10593239767195,409.2830527223697,399.0386024024557
2024-04-18,399.8144836425781,406.19749426876245,403.8483197560631,397.3631337753153
2024-04-19,394.7212219238281,398.01138086417376,398.37503173523146,396.9800281129699
2024-04-22,396.5409240722656,391.30238129077935,397.8213145031577,396.43955546464923
2024-04-23,403.078125,397.41021996540275,400.4109343757601,396.59939459377426
2024-04-24,404.5516662597656,407.1450950777787,403.49122454460763,396.9215114067448
2024-04-25,394.64208984375,404.830925615184,398.7846502776751,396.41798473361956
2024-04-26,401.8418273925781,393.7971166586687,399.7365489751126,397.2664200371671
2024-04-29,397.8166809082031,398.1552706683292,400.93733348890726,400.5778453436902
2024-04-30,385.0390930175781,400.328139192202,390.3592902008884,402.0022568126612
2024-05-01,390.5872497558594,389.14553289920286,390.08015916605547,403.5425069134359
2024-05-02,393.455322265625,389.49207341025397,391.9254062862906,404.1891802935307
2024-05-03,402.1781005859375,393.4134078788617,398.68039275380625,406.0994510461789
2024-05-06,408.9823303222656,399.7886697042352,404.6922840917121,411.8874829026847
2024-05-07,404.82861328125,414.4958607407942,407.71874329703087,413.85294038092695
2024-05-08,406.0153198242188,403.3500427464574,404.7486393933191,415.7747657300798
2024-05-09,407.7757568359375,406.33039180494086,405.9234777405572,416.63785952778005
2024-05-10,410.1690368652344,406.3795153000592,409.64028658602774,418.5970337937093
2024-05-13,409.1602783203125,410.45454874532976,409.8500827178357,423.5535242096636
2024-05-14,411.9690246582031,408.82042258931574,410.16949324893426,424.94098214458757
2024-05-15,419.1718444824219,411.710007243011,415.8639862274116,426.1545871950034
2024-05-16,417.1011352539063,423.0797180678879,418.38351862506295,426.1953342510185
2024-05-17,416.328369140625,417.0337094252846,417.78843935701366,427.23630305079286
2024-05-20,421.4109802246094,416.2542230617908,420.28090861627237,429.0694661256557
2024-05-21,425.0768432617188,418.42866993468135,423.7460907731391,429.36641633394146
2024-05-22,426.5431213378906,426.68125904460123,425.06668536302647,429.5022219862093
2024-05-23,423.0556640625,427.1446951124464,425.4960037036565,428.49969734058806
2024-05-24,426.1864929199219,420.88187703801924,422.96766094158835,428.5526702453667
2024-05-28,426.344970703125,424.79450101764974,426.5322082111809,427.63802364509354
2024-05-29,425.2056579589844,426.25385820062553,426.0012602505621,427.308157004504
2024-05-30,410.8395690917969,425.96525691556195,414.51348285654075,425.9762485767914
2024-05-31,411.29534912109375,406.69325685352663,412.1535346163727,425.8400092632532
2024-06-03,409.7001647949219,411.31227950580984,411.1439582092265,425.49028165424687
2024-06-04,412.2266540527344,409.64434830824,411.55219806461844,425.5424969294968
2024-06-05,420.09326171875,411.71813792938894,416.14740963004095,425.6785555734666
2024-06-06,420.5985412597656,424.22236416872266,420.87066214710967,424.9155876749805
2024-06-07,419.9347839355469,420.71549630865286,420.688601758398,425.4367823360288
2024-06-10,423.9176025390625,419.7364231733794,422.8742171175738,427.4235162367637
2024-06-11,428.6831970214844,424.12509430898496,426.9956675237549,428.3158180032419
2024-06-12,436.98577880859375,431.5618900961902,434.56766127580465,429.29165282553384
2024-06-13,437.5009460449219,443.6853169173736,437.001518636965,429.3498729175694
2024-06-14,438.4818115234375,437.7817729514866,438.9837017396044,430.65610083444363
2024-06-17,444.228271484375,438.9608143947543,442.3707570667947,434.62289366476983
2024-06-18,442.2170104980469,446.3219135604942,442.26363307460144,436.0053085771129
2024-06-20,441.58294677734375,442.46731148534843,441.9040918392982,437.70396285014704
2024-06-21,445.6251831054688,441.64606123690436,443.91100498095796,439.1719207149689
2024-06-24,443.5347290039063,443.1082573332533,444.225776327002,442.91248185748816
2024-06-25,446.7844543457031,444.42704317593535,446.32773702114105,443.9871369574543
2024-06-26,447.9832763671875,444.71850581136255,447.243481170603,444.9339797998536
2024-06-27,448.6668395996094,447.39750822314915,446.84391826561637,444.75165482684963
2024-06-28,442.8213806152344,448.57895177866055,445.6927303114969,445.6093915531906
2024-07-01,452.5110168457031,442.50436014461667,450.46536503217123,447.07182215229716
2024-07-02,455.0374450683594,444.7187914046469,453.24341666234545,447.27826296814646
2024-07-03,456.513671875,454.4702433334545,455.99133781013103,447.3239891820774
2024-07-05,463.240966796875,456.1996902964671,460.5849449992104,446.1510513904794
2024-07-08,461.9331665039063,467.8655867512365,461.642372754536,444.9140663746985
2024-07-09,455.2950439453125,461.82906296594183,456.6311217026484,444.28579352892484
